neighborhood,current_cases,lat,long,ds
Hollywood Hills,5,34.1341,-118.3215,2020-03-22
Inglewood,3,33.9610,-118.3554,2020-03-22
Koreatown,2,34.0578,-118.3009,2020-03-22
La Canada Flintridge,1,34.2091,-118.2001,2020-03-22
La Mirada,3,33.9190,-118.0105,2020-03-22
La Verne,2,34.1202,-117.7704,2020-03-22
Lake Balboa,1,34.1839,-118.4954,2020-03-22
Lakewood,1,33.8536,-118.1340,2020-03-22
Lancaster,4,34.6868,-118.1542,2020-03-22
Lawndale,1,33.8881,-118.3535,2020-03-22
Lomita,8,33.7922,-118.3151,2020-03-22
Los Feliz,1,34.1124,-118.2851,2020-03-22
Lynwood,2,33.9293,-118.2139,2020-03-22
Manhattan Beach,7,33.8812,-118.4072,2020-03-22
Mar Vista,5,34.0037,-118.4690,2020-03-22
Melrose,17,34.0837,-118.3366,2020-03-22
Miracle Mile,4,34.0597,-118.3500,2020-03-22
Monterey Park,3,34.0625,-118.1228,2020-03-22
North Hollywood,5,34.1870,-118.3813,2020-03-22
Northridge,1,34.2379,-118.5302,2020-03-22
Pacific Palisades,7,34.0481,-118.5265,2020-03-22
Palms,1,34.0237,-118.4151,2020-03-22
Paramount,1,33.8895,-118.1598,2020-03-22
Park La Brea,4,34.0702,-118.3497,2020-03-22
Playa Vista,2,33.9728,-118.4276,2020-03-22
Rancho Palos Verdes,1,33.7445,-118.3870,2020-03-22
Redondo Beach,4,33.8492,-118.3884,2020-03-22
Reseda,2,34.2011,-118.5360,2020-03-22
San Dimas,1,34.1067,-117.8067,2020-03-22
San Fernando,1,34.2819,-118.4390,2020-03-22
San Pedro,1,33.7361,-118.2922,2020-03-22
Santa Clarita,4,34.3917,-118.5426,2020-03-22
Santa Monica,7,34.0242,-118.4965,2020-03-22
Santa Monica Mountains,2,34.1203,-118.9318,2020-03-22
Sherman Oaks,7,34.1500,-118.4489,2020-03-22
Silverlake,3,34.0869,-118.2702,2020-03-22
South El Monte,1,34.0493,-118.0469,2020-03-22
South Gate,1,33.9560,-118.2113,2020-03-22
South Pasadena,3,34.1165,-118.1468,2020-03-22
South Whittier,1,33.9608,-118.0417,2020-03-22
Stevenson Ranch,1,34.3873,-118.5802,2020-03-22
Studio City,4,34.1413,-118.3878,2020-03-22
Sun Valley,1,34.2274,-118.3811,2020-03-22
Sunland,1,34.2660,-118.3114,2020-03-22
Sylmar,1,34.3058,-118.4572,2020-03-22
Tarzana,8,34.1509,-118.5517,2020-03-22
Temple,1,34.1023,-118.0603,2020-03-22
Torrance,3,33.8408,-118.3454,2020-03-22
Tujunga,1,34.2633,-118.3027,2020-03-22
University Park,1,34.0315,-118.2797,2020-03-22
Valley Glen,6,34.1838,-118.4172,2020-03-22
Van Nuys,2,34.1899,-118.4514,2020-03-22
Venice,7,33.9764,-118.4667,2020-03-22
Vermont Knolls,1,33.9293,-118.2893,2020-03-22
Vermont Vista,1,33.9465,-118.2826,2020-03-22
Vernon Central,1,34.0043,-118.2570,2020-03-22
Walnut,1,34.0203,-117.8653,2020-03-22
West Adams,1,34.0342,-118.3623,2020-03-22
West Covina,1,34.0686,-117.9390,2020-03-22
West Hills,4,34.1973,-118.6440,2020-03-22
West Hollywood,19,34.0907,-118.3860,2020-03-22
West Los Angeles,3,34.0399,-118.4422,2020-03-22
West Vernon,2,34.0039,-118.2301,2020-03-22
Westchester,3,33.9597,-118.4006,2020-03-22
Westlake,1,34.1458,-118.8056,2020-03-22
Westwood,5,34.0561,-118.4297,2020-03-22
Whittier,2,33.9679,-118.0189,2020-03-22
Wilmington,1,33.7800,-118.2617,2020-03-22
Winnetka,1,34.2059,-118.5754,2020-03-22
Woodland Hills,5,34.1659,-118.6104,2020-03-22
- Under Investigation,38,#N/A,#N/A,2020-03-22
Pasadena,3,34.1561,-118.1319,2020-03-22
Long Beach,15,33.7701,-118.1937,2020-03-22
Agoura Hills,1,34.1364,-118.7745,2020-03-23
Alhambra,4,34.0953,-118.1270,2020-03-23
Altadena,5,34.1902,-118.1313,2020-03-23
Arcadia,3,34.1397,-118.0353,2020-03-23
Athens,1,33.9200,-118.2812,2020-03-23
Baldwin Hills,3,34.0047,-118.3415,2020-03-23
Bellflower,3,33.8822,-118.1180,2020-03-23
Beverly Hills,12,34.0736,-118.4004,2020-03-23
Beverlywood,7,34.0409,-118.3919,2020-03-23
Boyle Heights,5,34.0339,-118.2054,2020-03-23
Brentwood,27,34.0519,-118.4731,2020-03-23
Burbank,2,34.1808,-118.3090,2020-03-23
Calabasas,3,34.1383,-118.6608,2020-03-23
Canoga Park,2,34.2011,-118.5981,2020-03-23
Carson,6,33.8374,-118.2559,2020-03-23
Castaic,1,34.4889,-118.6229,2020-03-23
Century City,4,34.0556,-118.4179,2020-03-23
Century Palms/Cove,1,33.9461,-118.2732,2020-03-23
Cerritos,2,33.8584,-118.0648,2020-03-23
Cloverdale/Cochran,1,34.0626,-118.3465,2020-03-23
Compton,1,33.8958,-118.2201,2020-03-23
Covina,1,34.0900,-117.8903,2020-03-23
Crestview,6,34.0458,-118.3816,2020-03-23
Culver City,5,34.0211,-118.3965,2020-03-23
Del Rey,2,33.9878,-118.4229,2020-03-23
Diamond Bar,2,34.0286,-117.8103,2020-03-23
Downtown,2,34.0422,-118.2488,2020-03-23
Duarte,1,34.1607,-117.9504,2020-03-23
