,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
12107,West Hollywood,53.0,148.05,2020-03-30,2020-03-27,,34.0907,-118.38600000000001
12108,West LA,0.0,0.0,2020-03-30,2020-03-27,,,
12109,West Los Angeles,19.0,50.68,2020-03-30,2020-03-27,,34.0399,-118.4422
12110,West Puente Valley,0.0,0.0,2020-03-30,2020-03-27,,34.0561,-117.9685
12111,West Rancho Dominguez,0.0,0.0,2020-03-30,2020-03-27,,,
12112,West Vernon,9.0,16.57,2020-03-30,2020-03-27,,34.0039,-118.2301
12113,West Whittier/Los Nietos,0.0,0.0,2020-03-30,2020-03-27,,33.976,-118.0691
12114,Westchester,17.0,33.47,2020-03-30,2020-03-27,,33.9597,-118.4006
12115,Westfield/Academy Hills,0.0,0.0,2020-03-30,2020-03-27,,,
12116,Westhills,0.0,0.0,2020-03-30,2020-03-27,,,
12117,Westlake,7.0,11.93,2020-03-30,2020-03-27,,34.1458,-118.8056
12118,Westlake Village,0.0,0.0,2020-03-30,2020-03-27,,34.1466,-118.8074
12119,Westwood,26.0,47.78,2020-03-30,2020-03-27,,34.0561,-118.4297
12120,White Fence Farms,0.0,0.0,2020-03-30,2020-03-27,,,
12121,Whittier,8.0,9.08,2020-03-30,2020-03-27,,33.9679,-118.0189
12122,Whittier Narrows,0.0,0.0,2020-03-30,2020-03-27,,,
12123,Wholesale District,10.0,26.18,2020-03-30,2020-03-27,,34.03,-118.2452
12124,Willowbrook,2.0,5.78,2020-03-30,2020-03-27,,33.917,-118.2551
12125,Wilmington,10.0,17.46,2020-03-30,2020-03-27,,33.78,-118.2617
12126,Wilshire Center,8.0,15.55,2020-03-30,2020-03-27,,34.0642,-118.2984
12127,Winnetka,9.0,17.63,2020-03-30,2020-03-27,,34.2059,-118.5754
12128,Wiseburn,0.0,0.0,2020-03-30,2020-03-27,,,
12129,Woodland Hills,22.0,34.09,2020-03-30,2020-03-27,,34.1659,-118.6104
12206,Long Beach,99.0,,2020-03-30,2020-03-27,,33.7701,-118.1937
12207,Pasadena,10.0,,2020-03-30,2020-03-27,,34.1561,-118.1319
