,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
236,Sierra Madre,5.0,45.5,2020-05-07,2020-05-04,0.0,34.1617,-118.0528
237,Signal Hill,9.0,76.29,2020-05-07,2020-05-04,1.0,33.8045,-118.1678
238,Silverlake,130.0,294.9,2020-05-07,2020-05-04,9.0,34.0869,-118.2702
239,South Antelope Valley,0.0,0.0,2020-05-07,2020-05-04,0.0,,
240,South Carthay,25.0,235.96,2020-05-07,2020-05-04,1.0,34.0561,-118.3734
241,South Edwards,0.0,,2020-05-07,2020-05-04,0.0,,
242,South El Monte,40.0,181.95,2020-05-07,2020-05-04,9.0,34.0493,-118.0469
243,South Gate,300.0,305.64,2020-05-07,2020-05-04,31.0,33.955999999999996,-118.2113
244,South Park,153.0,403.05,2020-05-07,2020-05-04,22.0,34.0418,-118.2639
245,South Pasadena,100.0,383.83,2020-05-07,2020-05-04,7.0,34.1165,-118.1468
246,South San Gabriel,14.0,158.23,2020-05-07,2020-05-04,3.0,34.0492,-118.0949
247,South Whittier,79.0,133.4,2020-05-07,2020-05-04,6.0,33.9608,-118.0417
248,Southeast Antelope Valley,0.0,0.0,2020-05-07,2020-05-04,0.0,,
249,St Elmo Village,23.0,501.75,2020-05-07,2020-05-04,5.0,34.0431,-118.34299999999999
250,Stevenson Ranch,20.0,95.39,2020-05-07,2020-05-04,2.0,34.3873,-118.5802
251,Studio City,57.0,254.01,2020-05-07,2020-05-04,5.0,34.1413,-118.3878
252,Sun Valley,181.0,344.87,2020-05-07,2020-05-04,35.0,34.2274,-118.3811
253,Sun Village,7.0,115.97,2020-05-07,2020-05-04,1.0,,
254,Sunland,108.0,529.2,2020-05-07,2020-05-04,7.0,34.266,-118.3114
255,Sunrise Village,1.0,77.16,2020-05-07,2020-05-04,0.0,,
256,Sycamore Square,1.0,154.56,2020-05-07,2020-05-04,0.0,,
257,Sylmar,455.0,552.2,2020-05-07,2020-05-04,74.0,34.3058,-118.4572
258,Tarzana,85.0,275.29,2020-05-07,2020-05-04,7.0,34.1509,-118.5517
259,Temple City,63.0,172.82,2020-05-07,2020-05-04,7.0,34.1072,-118.0579
260,Temple-Beaudry,193.0,488.83,2020-05-07,2020-05-04,25.0,34.0629,-118.2513
261,Thai Town,19.0,193.7,2020-05-07,2020-05-04,5.0,34.1018,-118.3036
262,Toluca Lake,13.0,149.36,2020-05-07,2020-05-04,3.0,34.1502,-118.355
263,Toluca Terrace,2.0,153.14,2020-05-07,2020-05-04,0.0,,
264,Toluca Woods,3.0,161.46,2020-05-07,2020-05-04,0.0,,
265,Torrance,308.0,206.34,2020-05-07,2020-05-04,25.0,33.8408,-118.3454
266,Tujunga,86.0,309.24,2020-05-07,2020-05-04,13.0,34.2633,-118.3027
267,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-07,2020-05-04,0.0,,
268,Universal City,0.0,,2020-05-07,2020-05-04,0.0,,
269,University Hills,7.0,204.14,2020-05-07,2020-05-04,0.0,,
270,University Park,101.0,367.86,2020-05-07,2020-05-04,13.0,34.0315,-118.2797
271,Val Verde,118.0,3566.03,2020-05-07,2020-05-04,26.0,,
272,Valencia,5.0,162.76,2020-05-07,2020-05-04,0.0,,
273,Valinda,35.0,149.76,2020-05-07,2020-05-04,5.0,34.0433,-117.9331
274,Valley Glen,93.0,309.83,2020-05-07,2020-05-04,2.0,34.1838,-118.4172
275,Valley Village,142.0,574.43,2020-05-07,2020-05-04,14.0,34.1633,-118.3842
276,Van Nuys,411.0,441.02,2020-05-07,2020-05-04,66.0,34.1899,-118.4514
277,Venice,51.0,150.51,2020-05-07,2020-05-04,1.0,33.9764,-118.4667
278,Vermont Knolls,73.0,424.42,2020-05-07,2020-05-04,12.0,33.9293,-118.2893
279,Vermont Square,61.0,796.66,2020-05-07,2020-05-04,10.0,34.0037,-118.3002
280,Vermont Vista,164.0,398.19,2020-05-07,2020-05-04,34.0,33.9465,-118.2826
281,Vernon,1.0,478.47,2020-05-07,2020-05-04,0.0,,
282,Vernon Central,280.0,538.48,2020-05-07,2020-05-04,61.0,34.0043,-118.257
283,Victoria Park,39.0,464.34,2020-05-07,2020-05-04,1.0,34.047,-118.3319
284,View Heights,7.0,189.5,2020-05-07,2020-05-04,0.0,33.9844,-118.3477
285,View Park/Windsor Hills,28.0,240.65,2020-05-07,2020-05-04,1.0,33.9943,-118.3447
286,Walnut,25.0,81.88,2020-05-07,2020-05-04,2.0,34.0203,-117.8653
287,Walnut Park,52.0,322.12,2020-05-07,2020-05-04,3.0,33.9689,-118.2224
288,Watts,134.0,314.01,2020-05-07,2020-05-04,19.0,33.9386,-118.238
289,Wellington Square,16.0,325.53,2020-05-07,2020-05-04,3.0,34.0392,-118.3343
290,West Adams,142.0,513.93,2020-05-07,2020-05-04,16.0,34.0342,-118.3623
291,West Antelope Valley,2.0,132.36,2020-05-07,2020-05-04,0.0,,
292,West Carson,72.0,326.0,2020-05-07,2020-05-04,7.0,33.8206,-118.2934
293,West Chatsworth,0.0,0.0,2020-05-07,2020-05-04,0.0,,
294,West Covina,158.0,145.98,2020-05-07,2020-05-04,15.0,34.0686,-117.939
295,West Hills,69.0,170.18,2020-05-07,2020-05-04,10.0,34.1973,-118.64399999999999
296,West Hollywood,142.0,384.29,2020-05-07,2020-05-04,3.0,34.0907,-118.38600000000001
297,West LA,21.0,2205.88,2020-05-07,2020-05-04,1.0,,
298,West Los Angeles,61.0,162.08,2020-05-07,2020-05-04,0.0,34.0399,-118.4422
299,West Puente Valley,20.0,203.36,2020-05-07,2020-05-04,1.0,34.0561,-117.9685
300,West Rancho Dominguez,3.0,220.75,2020-05-07,2020-05-04,1.0,,
