,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
147,Little Tokyo,33.0,1053.3,2020-06-11,2020-06-08,0.0,34.0523,-118.2395,Central L.A.
148,Littlerock,16.0,397.91,2020-06-11,2020-06-08,0.0,,,
149,Littlerock/Juniper Hills,2.0,154.2,2020-06-11,2020-06-08,0.0,,,
150,Littlerock/Pearblossom,23.0,644.44,2020-06-11,2020-06-08,2.0,34.5211,-117.9837,Antelope Valley
151,Llano,1.0,114.03,2020-06-11,2020-06-08,0.0,,,
152,Lomita,53.0,255.68,2020-06-11,2020-06-08,-1.0,33.7922,-118.3151,South Bay
153,Longwood,29.0,673.79,2020-06-11,2020-06-08,2.0,34.055296000000006,-118.33941499999999,Central L.A.
154,Los Feliz,59.0,273.05,2020-06-11,2020-06-08,0.0,34.1124,-118.2851,Central L.A.
155,Lynwood,852.0,1182.56,2020-06-11,2020-06-08,75.0,33.9293,-118.2139,Southeast
156,Malibu,40.0,308.62,2020-06-11,2020-06-08,1.0,34.0259,-118.7798,Santa Monica Mountains
157,Manchester Square,29.0,339.74,2020-06-11,2020-06-08,0.0,33.8993,-118.2977,South Bay
158,Mandeville Canyon,3.0,96.03,2020-06-11,2020-06-08,0.0,,,
159,Manhattan Beach,84.0,233.34,2020-06-11,2020-06-08,1.0,33.8812,-118.4072,South Bay
160,Mar Vista,92.0,216.62,2020-06-11,2020-06-08,2.0,34.0037,-118.469,Westside
161,Marina Peninsula,15.0,344.04,2020-06-11,2020-06-08,0.0,33.9797,-118.4657,Westside
162,Marina del Rey,16.0,170.01,2020-06-11,2020-06-08,0.0,33.9803,-118.4517,Westside
163,Maywood,399.0,1422.51,2020-06-11,2020-06-08,42.0,33.9885,-118.1874,Southeast
164,Melrose,660.0,849.46,2020-06-11,2020-06-08,22.0,34.0837,-118.3366,Central L.A.
165,Mid-city,134.0,891.55,2020-06-11,2020-06-08,10.0,34.0429,-118.3344,Central L.A.
166,Miracle Mile,47.0,261.33,2020-06-11,2020-06-08,1.0,34.0597,-118.35,Central L.A.
167,Mission Hills,198.0,820.76,2020-06-11,2020-06-08,17.0,34.2723,-118.4689,San Fernando Valley
168,Monrovia,206.0,592.63,2020-06-11,2020-06-08,11.0,34.1481,-117.999,San Gabriel Valley
169,Montebello,514.0,798.45,2020-06-11,2020-06-08,32.0,34.0095,-118.1054,Southeast
170,Monterey Park,208.0,334.07,2020-06-11,2020-06-08,10.0,34.0625,-118.1228,San Gabriel Valley
171,Mt. Washington,124.0,513.56,2020-06-11,2020-06-08,10.0,34.1003,-118.2097,Northeast L.A.
172,Newhall,1.0,454.55,2020-06-11,2020-06-08,0.0,,,
173,North Hills,576.0,935.44,2020-06-11,2020-06-08,39.0,34.2362,-118.4851,San Fernando Valley
174,North Hollywood,871.0,575.22,2020-06-11,2020-06-08,57.0,34.187,-118.3813,San Fernando Valley
175,North Lancaster,6.0,500.83,2020-06-11,2020-06-08,0.0,,,
176,North Whittier,19.0,227.27,2020-06-11,2020-06-08,2.0,34.0396,-117.9991,San Gabriel Valley
177,Northeast San Gabriel,66.0,274.59,2020-06-11,2020-06-08,2.0,34.0961,-118.1058,San Gabriel Valley
178,Northridge,417.0,597.45,2020-06-11,2020-06-08,14.0,34.2379,-118.5302,San Fernando Valley
179,Norwalk,673.0,625.34,2020-06-11,2020-06-08,53.0,33.9022,-118.0817,Southeast
180,Pacific Palisades,60.0,281.81,2020-06-11,2020-06-08,-1.0,34.0481,-118.5265,Westside
181,Pacoima,940.0,1221.11,2020-06-11,2020-06-08,54.0,34.2625,-118.427,San Fernando Valley
182,Palisades Highlands,7.0,182.01,2020-06-11,2020-06-08,3.0,,,
183,Palmdale,873.0,712.59,2020-06-11,2020-06-08,40.0,34.5794,-118.1093,Antelope Valley
184,Palms,211.0,480.89,2020-06-11,2020-06-08,8.0,34.0237,-118.4151,Westside
185,Palos Verdes Estates,44.0,325.4,2020-06-11,2020-06-08,1.0,33.7871,-118.3976,South Bay
186,Palos Verdes Peninsula,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
187,Panorama City,982.0,1304.98,2020-06-11,2020-06-08,58.0,34.2247,-118.4498,San Fernando Valley
188,Paramount,486.0,867.5,2020-06-11,2020-06-08,35.0,33.8895,-118.1598,Southeast
