,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
250,Sun Valley,228.0,434.43,2020-05-16,2020-05-13,21.0,34.2274,-118.3811,San Fernando Valley
251,Sun Village,8.0,132.54,2020-05-16,2020-05-13,0.0,,,
252,Sunland,118.0,578.2,2020-05-16,2020-05-13,5.0,34.266,-118.3114,Verdugos
253,Sunrise Village,2.0,154.32,2020-05-16,2020-05-13,0.0,,,
254,Sycamore Square,1.0,154.56,2020-05-16,2020-05-13,0.0,,,
255,Sylmar,585.0,709.97,2020-05-16,2020-05-13,44.0,34.3058,-118.4572,San Fernando Valley
256,Tarzana,104.0,336.83,2020-05-16,2020-05-13,8.0,34.1509,-118.5517,San Fernando Valley
257,Temple City,107.0,293.51,2020-05-16,2020-05-13,10.0,34.1072,-118.0579,San Gabriel Valley
258,Temple-Beaudry,232.0,587.61,2020-05-16,2020-05-13,13.0,34.0629,-118.2513,Central L.A.
259,Thai Town,25.0,254.87,2020-05-16,2020-05-13,1.0,34.1018,-118.3036,Central L.A.
260,Toluca Lake,16.0,183.82,2020-05-16,2020-05-13,1.0,34.1502,-118.355,San Fernando Valley
261,Toluca Terrace,5.0,382.85,2020-05-16,2020-05-13,2.0,,,
262,Toluca Woods,3.0,161.46,2020-05-16,2020-05-13,0.0,,,
263,Torrance,337.0,225.77,2020-05-16,2020-05-13,10.0,33.8408,-118.3454,South Bay
264,Tujunga,96.0,345.2,2020-05-16,2020-05-13,2.0,34.2633,-118.3027,Verdugos
265,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-16,2020-05-13,0.0,,,
266,University Hills,9.0,262.47,2020-05-16,2020-05-13,1.0,,,
267,University Park,128.0,466.2,2020-05-16,2020-05-13,12.0,34.0315,-118.2797,South L.A.
268,Val Verde,13.0,392.87,2020-05-16,2020-05-13,1.0,,,
269,Valencia,7.0,227.86,2020-05-16,2020-05-13,1.0,,,
270,Valinda,46.0,196.83,2020-05-16,2020-05-13,7.0,34.0433,-117.9331,San Gabriel Valley
271,Valley Glen,107.0,356.48,2020-05-16,2020-05-13,4.0,34.1838,-118.4172,San Fernando Valley
272,Valley Village,178.0,720.06,2020-05-16,2020-05-13,5.0,34.1633,-118.3842,San Fernando Valley
273,Van Nuys,529.0,567.63,2020-05-16,2020-05-13,40.0,34.1899,-118.4514,San Fernando Valley
274,Venice,58.0,171.17,2020-05-16,2020-05-13,1.0,33.9764,-118.4667,
275,Vermont Knolls,101.0,587.21,2020-05-16,2020-05-13,11.0,33.9293,-118.2893,South L.A.
276,Vermont Square,66.0,861.96,2020-05-16,2020-05-13,1.0,34.0037,-118.3002,South L.A.
