,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
210,Roosevelt,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
211,Rosemead,55.0,99.37,2020-05-11,2020-05-08,5.0,34.0806,-118.0728,San Gabriel Valley
212,Rosewood,5.0,388.8,2020-05-11,2020-05-08,0.0,,,
213,Rosewood/East Gardena,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
214,Rosewood/West Rancho Dominguez,11.0,327.28,2020-05-11,2020-05-08,0.0,34.0057,-118.4304,Westside
215,Rowland Heights,70.0,137.2,2020-05-11,2020-05-08,3.0,33.9761,-117.9053,San Gabriel Valley
216,San Clemente Island,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
217,San Dimas,35.0,101.4,2020-05-11,2020-05-08,4.0,34.1067,-117.8067,San Gabriel Valley
218,San Fernando,132.0,536.32,2020-05-11,2020-05-08,7.0,34.2819,-118.439,San Fernando Valley
219,San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
220,San Gabriel,54.0,131.86,2020-05-11,2020-05-08,10.0,34.0968,-118.1057,San Gabriel Valley
221,San Jose Hills,30.0,148.36,2020-05-11,2020-05-08,2.0,34.0592,-117.8426,San Gabriel Valley
222,San Marino,15.0,112.98,2020-05-11,2020-05-08,3.0,34.1214,-118.1065,San Gabriel Valley
223,San Pasqual,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
224,San Pedro,734.0,940.57,2020-05-11,2020-05-08,100.0,33.7361,-118.2922,Harbor
225,Sand Canyon,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
226,Santa Catalina Island,2.0,749.06,2020-05-11,2020-05-08,0.0,,,
227,Santa Clarita,496.0,225.02,2020-05-11,2020-05-08,33.0,34.3917,-118.5426,Northwest County
228,Santa Fe Springs,31.0,168.81,2020-05-11,2020-05-08,0.0,33.9472,-118.0853,Southeast
229,Santa Monica,209.0,226.08,2020-05-11,2020-05-08,3.0,34.0242,-118.4965,Westside
230,Santa Monica Mountains,19.0,102.04,2020-05-11,2020-05-08,0.0,34.1203,-118.9318,
231,Saugus,4.0,2580.65,2020-05-11,2020-05-08,0.0,,,
232,Saugus/Canyon Country,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
233,Shadow Hills,9.0,202.61,2020-05-11,2020-05-08,0.0,34.2575,-118.355,San Fernando Valley
234,Sherman Oaks,180.0,206.29,2020-05-11,2020-05-08,17.0,34.15,-118.4489,San Fernando Valley
235,Sierra Madre,6.0,54.6,2020-05-11,2020-05-08,1.0,34.1617,-118.0528,San Gabriel Valley
236,Signal Hill,9.0,76.29,2020-05-11,2020-05-08,0.0,33.8045,-118.1678,Harbor
237,Silverlake,138.0,313.05,2020-05-11,2020-05-08,6.0,34.0869,-118.2702,Central L.A.
238,South Antelope Valley,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
239,South Carthay,25.0,235.96,2020-05-11,2020-05-08,0.0,34.0561,-118.3734,Central L.A.
240,South El Monte,45.0,205.89,2020-05-11,2020-05-08,5.0,34.0493,-118.0469,San Gabriel Valley
241,South Gate,314.0,319.9,2020-05-11,2020-05-08,10.0,33.955999999999996,-118.2113,Southeast
242,South Park,173.0,455.73,2020-05-11,2020-05-08,19.0,34.0418,-118.2639,Central L.A.
243,South Pasadena,100.0,383.83,2020-05-11,2020-05-08,1.0,34.1165,-118.1468,San Gabriel Valley
244,South San Gabriel,20.0,226.04,2020-05-11,2020-05-08,6.0,34.0492,-118.0949,San Gabriel Valley
245,South Whittier,84.0,141.84,2020-05-11,2020-05-08,3.0,33.9608,-118.0417,San Gabriel Valley
246,Southeast Antelope Valley,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
247,St Elmo Village,27.0,589.01,2020-05-11,2020-05-08,3.0,34.0431,-118.34299999999999,Central L.A.
248,Stevenson Ranch,23.0,109.7,2020-05-11,2020-05-08,2.0,34.3873,-118.5802,Northwest County
249,Studio City,59.0,262.92,2020-05-11,2020-05-08,2.0,34.1413,-118.3878,San Fernando Valley
250,Sun Valley,193.0,367.74,2020-05-11,2020-05-08,9.0,34.2274,-118.3811,San Fernando Valley
251,Sun Village,7.0,115.97,2020-05-11,2020-05-08,0.0,,,
252,Sunland,111.0,543.9,2020-05-11,2020-05-08,3.0,34.266,-118.3114,Verdugos
253,Sunrise Village,1.0,77.16,2020-05-11,2020-05-08,0.0,,,
254,Sycamore Square,1.0,154.56,2020-05-11,2020-05-08,0.0,,,
255,Sylmar,498.0,604.38,2020-05-11,2020-05-08,32.0,34.3058,-118.4572,San Fernando Valley
256,Tarzana,92.0,297.97,2020-05-11,2020-05-08,5.0,34.1509,-118.5517,San Fernando Valley
257,Temple City,84.0,230.42,2020-05-11,2020-05-08,19.0,34.1072,-118.0579,San Gabriel Valley
258,Temple-Beaudry,202.0,511.63,2020-05-11,2020-05-08,6.0,34.0629,-118.2513,Central L.A.
259,Thai Town,20.0,203.89,2020-05-11,2020-05-08,1.0,34.1018,-118.3036,Central L.A.
